idx,file,path
1,buyer_seller_index_cross_geo_zip,BuyerSellerIndexCrossGeo_Zip.csv
2,buyer_seller_index_cross_time_zip,BuyerSellerIndexCrossTime_Zip.csv
3,median_daily_listings_nsa_all_homes_zip,MedianDailyListings_NSA_AllHomes_Zip.csv
4,median_daily_listings_ssa_all_homes_zip,MedianDailyListings_SSA_AllHomes_Zip.csv
5,monthly_listings_nsa_all_homes_zip,MonthlyListings_NSA_AllHomes_Zip.csv
6,monthly_listings_ssa_all_homes_zip,MonthlyListings_SSA_AllHomes_Zip.csv
7,new_monthly_listings_nsa_all_homes_zip,NewMonthlyListings_NSA_AllHomes_Zip.csv
8,new_monthly_listings_ssa_all_homes_zip,NewMonthlyListings_SSA_AllHomes_Zip.csv
9,sales_prev_foreclosed_share_zip,SalesPrevForeclosed_Share_Zip.csv
10,sale_counts_zip,Sale_Counts_Zip.csv
11,sale_prices_zip,Sale_Prices_Zip.csv
12,zip_listings_price_cut_seas_adj_all_homes,Zip_Listings_PriceCut_SeasAdj_AllHomes.csv
13,zip_listings_price_cut_seas_adj_condominum,Zip_Listings_PriceCut_SeasAdj_Condominum.csv
14,zip_listings_price_cut_seas_adj_single_family_residence,Zip_Listings_PriceCut_SeasAdj_SingleFamilyResidence.csv
15,zip_median_listing_price_per_sqft_all_homes,Zip_MedianListingPricePerSqft_AllHomes.csv
16,zip_median_listing_price_per_sqft_bottom_tier,Zip_MedianListingPricePerSqft_BottomTier.csv
17,zip_median_listing_price_per_sqft_top_tier,Zip_MedianListingPricePerSqft_TopTier.csv
18,zip_median_listing_price_all_homes,Zip_MedianListingPrice_AllHomes.csv
19,zip_median_listing_price_bottom_tier,Zip_MedianListingPrice_BottomTier.csv
20,zip_median_listing_price_top_tier,Zip_MedianListingPrice_TopTier.csv
21,zip_median_pct_of_price_reduction_all_homes,Zip_MedianPctOfPriceReduction_AllHomes.csv
22,zip_median_value_per_sqft_all_homes,Zip_MedianValuePerSqft_AllHomes.csv
23,zip_pct_of_listings_with_price_reductions_all_homes,Zip_PctOfListingsWithPriceReductions_AllHomes.csv
24,zip_zhvi_1_bedroom,Zip_Zhvi_1bedroom.csv
25,zip_zhvi_2_bedroom,Zip_Zhvi_2bedroom.csv
26,zip_zhvi_3_bedroom,Zip_Zhvi_3bedroom.csv
27,zip_zhvi_4_bedroom,Zip_Zhvi_4bedroom.csv
28,zip_zhvi_5_bedroom_or_more,Zip_Zhvi_5BedroomOrMore.csv
29,zip_zhvi_all_homes,Zip_Zhvi_AllHomes.csv
30,zip_zhvi_condominum,Zip_Zhvi_Condominum.csv
31,zip_zhvi_single_family_residence,Zip_Zhvi_SingleFamilyResidence.csv
